"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,14.1,14.1,,,,,,ru,false,22
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,65.97,,51.87,,,,,ru,false,22
2022-05-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,58.26,,,-7.71,,,,ru,false,22
2022-06-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,86.85,,28.59,,,,,ru,false,22
2022-07-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,49.23,,,-37.62,,49.23,2022-08-01,ru,false,22
2022-09-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,13.8,,,,13.8,13.8,2022-10-01,ru,false,22
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,48.45,48.45,,,,,,uk,false,20
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,53.49,,5.04,,,,,uk,false,20
2022-05-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,36.75,,,-16.74,,,,uk,false,20
2022-06-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,97.95,,61.20,,,,,uk,false,20
2022-07-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,21.48,,,-76.47,,,,uk,false,20
2022-08-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,76.29,,54.81,,,,,uk,false,20
2022-09-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,50.61,,,-25.68,,,,uk,false,20
2022-10-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,34.92,,,-15.69,,,,uk,false,20
2022-11-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,33.30,,,-1.62,,,,uk,false,20
2022-12-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,17.49,,,-15.81,,17.49,2023-01-01,uk,false,20
2022-07-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,61.41,61.41,,,,,,ru,false,15
2022-08-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,32.94,,,-28.47,,,,ru,false,15
2022-09-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,14.01,,,-18.93,,,,ru,false,15
2022-10-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,127.08,,113.07,,,,,ru,false,15
2022-11-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,22.41,,,-104.67,,,,ru,false,15
2022-12-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,27.12,,4.71,,,27.12,2023-01-01,ru,false,15
2022-12-01,"7Em69vKH6zh6HgArCzG0+w==",game 3,72.18,72.18,,,,72.18,2023-01-01,ru,false,17
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,158.67,158.67,,,,,,ru,false,23
