"payment_month","user_id","game_name","revenue_amount","revenue_type","language","has_older_device_model","age"
2022-07-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,86.94,revenue,uk,false,19
2022-08-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,158.76,revenue,uk,false,19
2022-09-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,35.61,revenue,uk,false,19
2022-11-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,33.57,revenue,uk,false,19
2022-12-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,117.96,revenue,uk,false,19
2022-05-01,"8TTRdxncZg7Nl0tvfwsZng==",game 3,14.25,revenue,uk,false,30
2022-03-01,"99X4aLWWjAIgmlXjrXQIgg==",game 3,16.98,revenue,ru,false,22
2022-10-01,"9I0ppB2UxsJPIO8BpHQfEw==",game 3,16.17,revenue,uk,false,26
2022-11-01,"9I0ppB2UxsJPIO8BpHQfEw==",game 3,26.76,revenue,uk,false,26
2022-05-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,12.48,revenue,ru,false,24
2022-06-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,88.08,revenue,ru,false,24
2022-07-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,120.75,revenue,ru,false,24
2022-08-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,46.29,revenue,ru,false,24
2022-09-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,15.63,revenue,ru,false,24
2022-10-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,17.37,revenue,ru,false,24
2022-11-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,71.52,revenue,ru,false,24
2022-12-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,30.12,revenue,ru,false,24
2022-11-01,"9U26VpwYC1aliSUokeNK6A==",game 3,53.07,revenue,uk,false,34
2022-12-01,"9U26VpwYC1aliSUokeNK6A==",game 3,14.34,revenue,uk,false,34
2022-03-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,45.27,revenue,uk,false,24
2022-04-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,13.95,revenue,uk,false,24
2022-06-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,107.40,revenue,uk,false,24
2022-07-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,64.44,revenue,uk,false,24
2022-08-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,15.21,revenue,uk,false,24
2022-09-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,19.56,revenue,uk,false,24
2022-10-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,65.43,revenue,uk,false,24
2022-08-01,A6QTeGOKjaGkGkRCFqNybw==,game 3,43.86,revenue,ru,false,33
2022-12-01,A8lK1Lccnv65sGqBkfP2iw==,game 3,16.08,revenue,uk,false,15
2022-08-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,51.00,revenue,uk,false,18
2022-09-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,19.56,revenue,uk,false,18
2022-11-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,105.99,revenue,uk,false,18
2022-12-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,47.10,revenue,uk,false,18
2022-05-01,an5Xsrpir8vvhTb50gnppQ==,game 3,15.51,revenue,uk,false,43
2022-07-01,An7gG7hfETivAjfokQv3Ww==,game 3,45.03,revenue,uk,false,23
2022-08-01,An7gG7hfETivAjfokQv3Ww==,game 3,90.99,revenue,uk,false,23
2022-09-01,An7gG7hfETivAjfokQv3Ww==,game 3,47.52,revenue,uk,false,23
2022-10-01,An7gG7hfETivAjfokQv3Ww==,game 3,18.9,revenue,uk,false,23
2022-11-01,An7gG7hfETivAjfokQv3Ww==,game 3,61.29,revenue,uk,false,23
2022-12-01,An7gG7hfETivAjfokQv3Ww==,game 3,17.61,revenue,uk,false,23
2022-03-01,AN9at3LlvDamqXq8dvHD4w==,game 3,42.03,revenue,ru,false,24
2022-04-01,AN9at3LlvDamqXq8dvHD4w==,game 3,64.50,revenue,ru,false,24
2022-05-01,AN9at3LlvDamqXq8dvHD4w==,game 3,66.57,revenue,ru,false,24
2022-06-01,AN9at3LlvDamqXq8dvHD4w==,game 3,18.99,revenue,ru,false,24
2022-07-01,AN9at3LlvDamqXq8dvHD4w==,game 3,13.71,revenue,ru,false,24
2022-08-01,AN9at3LlvDamqXq8dvHD4w==,game 3,43.23,revenue,ru,false,24
2022-09-01,AN9at3LlvDamqXq8dvHD4w==,game 3,63.93,revenue,ru,false,24
